tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
40,5a_capital_return_5pct,1,0.1595,0.1419,0.155,0.095,48,0.24,80,-7213.04,34272.0,27058.96,12.0,90.0,0,0.1595,140.2
41,5a_capital_return_5pct,1,0.1418,0.1261,0.095,0.02,48,0.24,80,-7780.03,34848.0,27067.97,12.0,90.0,0,0.1418,143.1
42,5a_capital_return_5pct,1,0.1258,0.1122,0.02,0.02,48,0.24,80,-8338.02,35424.0,27085.98,12.0,90.0,0,0.1258,145.9
43,5a_capital_return_5pct,1,0.1121,0.1005,0.02,0.01,48,0.24,80,-8905.02,36000.0,27094.98,12.0,90.0,0,0.1121,148.8
44,5a_capital_return_5pct,1,0.1004,0.0905,0.01,0.01,48,0.24,80,-9472.02,36576.0,27103.98,12.0,90.0,0,0.1004,151.7
45,5a_capital_return_5pct,1,0.0904,0.0827,0.01,0.01,48,0.24,80,-10039.02,37152.0,27112.98,12.0,90.0,0,0.0904,154.5
46,5a_capital_return_5pct,1,0.0827,0.0796,0.01,0.0,48,0.24,80,-10615.02,37728.0,27112.98,12.0,90.0,2,0.0827,157.4
47,5a_capital_return_5pct,1,0.0791,0.0802,0.0,0.0,48,0.24,80,-11172.7,38304.0,27131.3,12.0,90.0,13,0.0791,160.2
48,5a_capital_return_5pct,1,0.077,0.0842,0.0,0.0,48,0.24,80,-11610.12,38880.0,27269.88,12.0,90.0,22,0.077,162.5
49,5a_capital_return_5pct,1,0.0792,0.0893,0.0,0.0,48,0.24,80,-11980.37,39456.0,27475.63,12.0,90.0,44,0.0792,164.3
50,5a_capital_return_5pct,1,0.0807,0.091,0.0,0.0,48,0.24,80,-12137.09,40032.0,27894.91,12.0,90.0,44,0.0807,165.2
51,5a_capital_return_5pct,1,0.0823,0.0931,0.0,0.0,48,0.24,80,-12278.86,40608.0,28329.14,12.0,90.0,45,0.0824,165.9
52,5a_capital_return_5pct,1,0.0843,0.095,0.0,0.0,48,0.24,80,-12423.95,41184.0,28760.05,12.0,90.0,46,0.0843,166.7
53,5a_capital_return_5pct,1,0.086,0.0969,0.0,0.0,48,0.24,80,-12526.82,41760.0,29233.18,12.0,90.0,46,0.0861,167.2
54,5a_capital_return_5pct,1,0.0879,0.0993,0.0,0.0,48,0.24,80,-12633.06,42336.0,29702.94,12.0,90.0,46,0.0882,167.9
55,5a_capital_return_5pct,1,0.0903,0.1016,0.0,0.0,48,0.24,80,-12751.72,42912.0,30160.28,12.0,90.0,48,0.0907,168.6
56,5a_capital_return_5pct,1,0.0925,0.1037,0.0,0.0,48,0.24,80,-12845.79,43488.0,30642.21,12.0,90.0,48,0.0929,169.2
57,5a_capital_return_5pct,1,0.0946,0.1057,0.0,0.0,48,0.24,80,-12934.17,44064.0,31129.83,12.0,90.0,48,0.0952,169.8
58,5a_capital_return_5pct,1,0.0967,0.1078,0.0,0.0,48,0.24,80,-13016.69,44640.0,31623.31,12.0,90.0,48,0.0973,170.4
59,5a_capital_return_5pct,1,0.0987,0.1097,0.0,0.0,48,0.24,80,-13075.61,45216.0,32140.39,12.0,90.0,48,0.0993,170.8
60,5a_capital_return_5pct,1,0.1006,0.1115,0.0,0.0,48,0.24,80,-13138.17,45792.0,32653.83,12.0,90.0,48,0.1012,171.3
61,5a_capital_return_5pct,1,0.1024,0.1132,0.0,0.0,48,0.24,80,-13195.58,46368.0,33172.42,12.0,90.0,48,0.103,171.8
62,5a_capital_return_5pct,1,0.1041,0.1149,0.0,0.0,48,0.24,80,-13257.06,46944.0,33686.94,12.0,90.0,48,0.1047,172.3
63,5a_capital_return_5pct,1,0.1057,0.1165,0.0,0.0,48,0.24,80,-13313.86,47520.0,34206.14,12.0,90.0,48,0.1063,172.8
64,5a_capital_return_5pct,1,0.1073,0.1179,0.0,0.0,48,0.24,80,-13357.19,48096.0,34738.81,12.0,90.0,48,0.1079,173.2
65,5a_capital_return_5pct,1,0.1087,0.1193,0.0,0.0,48,0.24,80,-13387.27,48672.0,35284.73,12.0,90.0,48,0.1093,173.5
