tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
242,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
243,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
244,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
245,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
246,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
247,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
248,2_padrao,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-11796.26,52992.0,41195.74,12.0,90.0
249,2_padrao,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-11787.26,52992.0,41204.74,12.0,90.0
250,2_padrao,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-11787.26,52992.0,41204.74,12.0,90.0
251,2_padrao,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-11778.26,52992.0,41213.74,12.0,90.0
252,2_padrao,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-11778.26,52992.0,41213.74,12.0,90.0
253,2_padrao,1,0.0659,0.0659,0.0,0.0,0,0.0,128,-11769.25,52992.0,41222.75,12.0,90.0
254,2_padrao,1,0.0659,0.0659,0.0,0.0,0,0.0,128,-11769.25,52992.0,41222.75,12.0,90.0
255,2_padrao,1,0.066,0.066,0.0,0.0,0,0.0,128,-11751.24,52992.0,41240.76,12.0,90.0
256,2_padrao,1,0.066,0.066,0.0,0.0,0,0.0,128,-11724.24,52992.0,41267.76,12.0,90.0
257,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11706.23,52992.0,41285.77,12.0,90.0
258,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11697.23,52992.0,41294.77,12.0,90.0
259,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11688.23,52992.0,41303.77,12.0,90.0
260,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11679.23,52992.0,41312.77,12.0,90.0
261,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11679.23,52992.0,41312.77,12.0,90.0
262,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11652.22,52992.0,41339.78,12.0,90.0
263,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11607.21,52992.0,41384.79,12.0,90.0
264,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11598.2,52992.0,41393.8,12.0,90.0
265,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11580.19,52992.0,41411.81,12.0,90.0
266,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11580.19,52992.0,41411.81,12.0,90.0
267,2_padrao,1,0.0662,0.0662,0.0,0.0,0,0.0,128,-11580.19,52992.0,41411.81,12.0,90.0
268,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11553.18,52992.0,41438.82,12.0,90.0
269,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11544.17,52992.0,41447.83,12.0,90.0
270,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11526.17,52992.0,41465.83,12.0,90.0
271,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11517.17,52992.0,41474.83,12.0,90.0
272,2_padrao,1,0.0661,0.0661,0.0,0.0,0,0.0,128,-11517.17,52992.0,41474.83,12.0,90.0
273,2_padrao,1,0.066,0.066,0.0,0.0,0,0.0,128,-11508.17,52992.0,41483.83,12.0,90.0
274,2_padrao,1,0.066,0.066,0.0,0.0,0,0.0,128,-11490.16,52992.0,41501.84,12.0,90.0
275,2_padrao,1,0.0659,0.0659,0.0,0.0,0,0.0,128,-11463.14,52992.0,41528.86,12.0,90.0
276,2_padrao,1,0.0658,0.0658,0.0,0.0,0,0.0,128,-11445.14,52992.0,41546.86,12.0,90.0
277,2_padrao,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-11436.14,52992.0,41555.86,12.0,90.0
278,2_padrao,1,0.0657,0.0657,0.0,0.0,0,0.0,128,-11436.14,52992.0,41555.86,12.0,90.0
279,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11418.13,52992.0,41573.87,12.0,90.0
280,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11418.13,52992.0,41573.87,12.0,90.0
281,2_padrao,1,0.0656,0.0656,0.0,0.0,0,0.0,128,-11409.13,52992.0,41582.87,12.0,90.0
282,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11400.12,52992.0,41591.88,12.0,90.0
283,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11400.12,52992.0,41591.88,12.0,90.0
284,2_padrao,1,0.0655,0.0655,0.0,0.0,0,0.0,128,-11400.12,52992.0,41591.88,12.0,90.0
285,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11382.12,52992.0,41609.88,12.0,90.0
286,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11382.12,52992.0,41609.88,12.0,90.0
287,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11382.12,52992.0,41609.88,12.0,90.0
288,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11382.12,52992.0,41609.88,12.0,90.0
289,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11382.12,52992.0,41609.88,12.0,90.0
290,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11373.12,52992.0,41618.88,12.0,90.0
291,2_padrao,1,0.0654,0.0654,0.0,0.0,0,0.0,128,-11373.12,52992.0,41618.88,12.0,90.0
292,2_padrao,1,0.0653,0.0653,0.0,0.0,0,0.0,128,-11364.12,52992.0,41627.88,12.0,90.0
