tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
432,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6132.06,52992.0,59124.06,12.0,90.0,1,0.0625,171.5
433,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6147.23,52992.0,59139.23,12.0,90.0,1,0.0625,171.5
434,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6156.99,52992.0,59148.99,12.0,90.0,1,0.0625,171.5
435,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6164.95,52992.0,59156.95,12.0,90.0,1,0.0625,171.6
436,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6178.31,52992.0,59170.31,12.0,90.0,1,0.0626,171.6
437,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6197.08,52992.0,59189.08,12.0,90.0,1,0.0626,171.5
438,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6214.04,52992.0,59206.04,12.0,90.0,1,0.0625,171.5
439,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6222.01,52992.0,59214.01,12.0,90.0,1,0.0626,171.6
440,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6242.58,52992.0,59234.58,12.0,90.0,1,0.0625,171.5
441,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6257.75,52992.0,59249.75,12.0,90.0,1,0.0625,171.5
442,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6271.11,52992.0,59263.11,12.0,90.0,1,0.0625,171.5
443,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6282.68,52992.0,59274.68,12.0,90.0,1,0.0625,171.5
444,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6296.05,52992.0,59288.05,12.0,90.0,1,0.0625,171.5
445,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6311.22,52992.0,59303.22,12.0,90.0,1,0.0625,171.5
446,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6326.39,52992.0,59318.39,12.0,90.0,1,0.0624,171.5
447,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6337.96,52992.0,59329.96,12.0,90.0,1,0.0624,171.5
448,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6345.93,52992.0,59337.93,12.0,90.0,1,0.0625,171.6
449,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6357.5,52992.0,59349.5,12.0,90.0,1,0.0625,171.6
450,5b_capital_return_1pct,1,0.0624,0.0624,0.0,0.0,0,0.0,128,6370.88,52992.0,59362.88,12.0,90.0,1,0.0625,171.6
451,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6396.86,52992.0,59388.86,12.0,90.0,1,0.0625,171.5
452,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6404.83,52992.0,59396.83,12.0,90.0,1,0.0625,171.6
453,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6423.61,52992.0,59415.61,12.0,90.0,1,0.0624,171.5
454,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6436.98,52992.0,59428.98,12.0,90.0,1,0.0624,171.5
455,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6450.36,52992.0,59442.36,12.0,90.0,1,0.0624,171.5
456,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6461.94,52992.0,59453.94,12.0,90.0,1,0.0624,171.6
457,5b_capital_return_1pct,1,0.0623,0.0623,0.0,0.0,0,0.0,128,6475.32,52992.0,59467.32,12.0,90.0,1,0.0624,171.6
458,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6494.1,52992.0,59486.1,12.0,90.0,1,0.0624,171.5
459,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6505.67,52992.0,59497.67,12.0,90.0,1,0.0624,171.6
460,5b_capital_return_1pct,1,0.0622,0.0622,0.0,0.0,0,0.0,128,6519.05,52992.0,59511.05,12.0,90.0,1,0.0624,171.6
