tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold
393,3b_corte_gradual,1,0.064,0.064,0.0,0.0,0,0.0,128,-10749.19,39398.4,28649.21,12.0,90.0
394,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10749.19,39398.4,28649.21,12.0,90.0
395,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10749.19,39398.4,28649.21,12.0,90.0
396,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10749.19,39398.4,28649.21,12.0,90.0
397,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10749.19,39398.4,28649.21,12.0,90.0
398,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10731.18,39398.4,28667.22,12.0,90.0
399,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10731.18,39398.4,28667.22,12.0,90.0
400,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10731.18,39398.4,28667.22,12.0,90.0
401,3b_corte_gradual,1,0.0641,0.0641,0.0,0.0,0,0.0,128,-10731.18,39398.4,28667.22,12.0,90.0
402,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10731.18,39398.4,28667.22,12.0,90.0
403,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10722.18,39398.4,28676.22,12.0,90.0
404,3b_corte_gradual,1,0.0642,0.0642,0.0,0.0,0,0.0,128,-10713.17,39398.4,28685.23,12.0,90.0
405,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10713.17,39398.4,28685.23,12.0,90.0
406,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10713.17,39398.4,28685.23,12.0,90.0
407,3b_corte_gradual,1,0.0643,0.0643,0.0,0.0,0,0.0,128,-10704.17,39398.4,28694.23,12.0,90.0
408,3b_corte_gradual,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10704.17,39398.4,28694.23,12.0,90.0
409,3b_corte_gradual,1,0.0644,0.0644,0.0,0.0,0,0.0,128,-10704.17,39398.4,28694.23,12.0,90.0
410,3b_corte_gradual,1,0.0645,0.0645,0.0,0.0,0,0.0,128,-10704.17,39398.4,28694.23,12.0,90.0
